minutes_year,game_year,playerId,team,playerId:1,playerName,SEASON,avg_GP,avg_GS,avg_MIN,avg_FG_made,avg_FG_attempted,avg_FGpercent,avg_ThreeP_made,avg_ThreeP_attempted,avg_ThreePpercent,avg_FT_made,avg_FT_attempted,avg_FTpercent,avg_OR,avg_DR,avg_REB,avg_AST,avg_BLK,avg_STL,avg_PF,avg_TO,avg_PTS,total_FG_made,total_FG_attempted,total_FGpercent,total_ThreeP_made,total_ThreeP_attempted,total_ThreePpercent,total_FT_made,total_FT_attempted,total_FTpercent,total_OR,total_DR,total_REB,total_AST,total_BLK,total_STL,total_PF,total_TO,total_PTS,misc_total_DBLDBL,misc_total_TRIDBL,misc_total_DQ,misc_total_EJECT,misc_total_TECH,misc_total_FLAG,misc_total_AST_TO,misc_total_STL_TO,misc_total_RAT,misc_total_SCEFF,misc_total_SHEFF
3123,2009,1007,atl,1007,"Joe Johnson",2009,79.0,79.0,39.5,7.8,18.0,0.437,1.9,5.2,0.36,3.8,4.6,0.826,0.8,3.6,4.4,5.8,0.2,1.1,2.2,2.5,21.4,620.0,1420.0,0.437,149.0,414.0,0.36,299.0,362.0,0.826,65.0,281.0,346.0,455.0,19.0,84.0,176.0,195.0,1688.0,4.0,1.0,0.0,0.0,4.0,0.0,2.33,0.43,34.48,1.189,0.489
2740,2009,61,atl,61,"Mike Bibby",2009,79.0,79.0,34.7,5.5,12.7,0.435,2.1,5.4,0.39,1.7,2.2,0.789,0.5,3.0,3.5,5.0,0.1,1.2,1.8,1.6,14.9,437.0,1005.0,0.435,167.0,428.0,0.39,135.0,171.0,0.789,38.0,240.0,278.0,392.0,11.0,98.0,145.0,128.0,1176.0,4.0,0.0,0.0,0.0,5.0,0.0,3.06,0.77,26.55,1.17,0.518
2424,2009,2411,atl,2411,"Josh Smith",2009,69.0,69.0,35.1,6.1,12.3,0.492,0.4,1.3,0.299,3.1,5.2,0.588,1.9,5.3,7.2,2.4,1.6,1.4,2.7,2.3,15.6,418.0,849.0,0.492,26.0,87.0,0.299,211.0,359.0,0.588,134.0,364.0,498.0,169.0,111.0,94.0,184.0,161.0,1073.0,20.0,0.0,1.0,1.0,9.0,2.0,1.05,0.58,28.48,1.264,0.508
2244,2009,3213,atl,3213,"Al Horford",2009,67.0,67.0,33.5,4.7,8.9,0.525,0.0,0.0,0.0,2.2,3.1,0.727,2.2,7.2,9.3,2.4,1.4,0.8,2.8,1.5,11.5,312.0,594.0,0.525,0.0,1.0,0.0,149.0,205.0,0.727,145.0,479.0,624.0,163.0,95.0,53.0,190.0,103.0,773.0,20.0,0.0,0.0,0.0,3.0,0.0,1.58,0.51,27.13,1.301,0.525
2095,2009,2797,atl,2797,"Marvin Williams",2009,61.0,59.0,34.3,4.7,10.2,0.458,0.9,2.5,0.355,3.6,4.5,0.806,1.8,4.5,6.3,1.3,0.6,0.9,2.1,1.1,13.9,285.0,622.0,0.458,55.0,155.0,0.355,220.0,273.0,0.806,110.0,272.0,382.0,81.0,39.0,57.0,127.0,70.0,845.0,6.0,0.0,0.0,0.0,2.0,0.0,1.16,0.81,23.91,1.359,0.502
1978,2009,1777,atl,1777,"Ronald Murray",2009,80.0,2.0,24.7,4.4,9.9,0.447,1.1,3.0,0.36,2.2,2.9,0.76,0.3,1.8,2.1,2.0,0.2,1.1,2.2,1.6,12.2,355.0,795.0,0.447,87.0,242.0,0.36,177.0,233.0,0.76,22.0,146.0,168.0,158.0,17.0,88.0,173.0,128.0,974.0,0.0,0.0,0.0,0.0,1.0,0.0,1.23,0.69,17.89,1.225,0.501
1841,2009,1031,atl,1031,"Maurice Evans",2009,80.0,25.0,23.0,2.6,6.0,0.432,1.2,3.1,0.395,0.8,0.9,0.822,1.1,1.9,3.0,0.7,0.1,0.6,2.0,0.5,7.2,208.0,482.0,0.432,98.0,248.0,0.395,60.0,73.0,0.822,88.0,155.0,243.0,54.0,10.0,50.0,163.0,43.0,574.0,1.0,0.0,1.0,0.0,0.0,0.0,1.26,1.16,12.11,1.191,0.533
1474,2009,2016,atl,2016,"Zaza Pachulia",2009,77.0,26.0,19.1,2.1,4.2,0.497,0.0,0.0,0.0,2.1,3.0,0.709,2.3,3.4,5.7,0.7,0.3,0.5,2.7,1.2,6.2,159.0,320.0,0.497,0.0,3.0,0.0,163.0,230.0,0.709,173.0,263.0,436.0,57.0,26.0,35.0,208.0,91.0,481.0,4.0,0.0,1.0,0.0,4.0,1.0,0.63,0.38,13.27,1.503,0.497
676,2009,3010,atl,3010,"Solomon Jones",2009,63.0,0.0,10.7,1.1,1.8,0.604,0.0,0.0,0.5,0.8,1.2,0.716,0.8,1.4,2.3,0.2,0.5,0.1,2.0,0.4,3.0,67.0,111.0,0.604,1.0,2.0,0.5,53.0,74.0,0.716,52.0,90.0,142.0,15.0,34.0,7.0,125.0,27.0,188.0,0.0,0.0,0.0,0.0,0.0,1.0,0.56,0.26,6.59,1.694,0.608
563,2009,3219,atl,3219,"Acie Law",2009,55.0,1.0,10.2,0.9,2.5,0.374,0.2,0.5,0.31,0.9,1.1,0.817,0.1,1.0,1.1,1.6,0.1,0.2,0.8,0.5,2.9,52.0,139.0,0.374,9.0,29.0,0.31,49.0,60.0,0.817,6.0,52.0,58.0,86.0,3.0,11.0,43.0,29.0,162.0,0.0,0.0,0.0,0.0,1.0,0.0,2.97,0.38,5.92,1.165,0.406
269,2009,3278,atl,3278,"Mario West",2009,53.0,3.0,5.1,0.3,0.6,0.412,0.0,0.0,1.0,0.3,0.6,0.467,0.5,0.6,1.1,0.4,0.1,0.3,0.7,0.2,0.8,14.0,34.0,0.412,1.0,1.0,1.0,14.0,30.0,0.467,24.0,32.0,56.0,19.0,4.0,18.0,35.0,13.0,43.0,0.0,0.0,0.0,0.0,1.0,0.0,1.46,1.38,2.44,1.265,0.426
97,2009,3263,atl,3263,"Thomas Gardner",2009,16.0,0.0,6.1,0.6,2.3,0.25,0.3,1.4,0.174,0.1,0.3,0.5,0.0,0.4,0.4,0.1,0.1,0.3,0.3,0.2,1.5,9.0,36.0,0.25,4.0,23.0,0.174,2.0,4.0,0.5,0.0,7.0,7.0,2.0,1.0,4.0,4.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,1.33,1.59,0.667,0.306
91,2009,3475,atl,3475,"Othello Hunter",2009,16.0,0.0,5.8,0.7,1.3,0.55,0.0,0.0,0.0,0.0,0.3,0.0,0.6,0.9,1.5,0.1,0.3,0.1,0.7,0.1,1.4,11.0,20.0,0.55,0.0,0.0,0.0,0.0,5.0,0.0,9.0,15.0,24.0,1.0,5.0,2.0,11.0,2.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.0,3.43,1.1,0.55
89,2009,3179,atl,3179,"Randolph Morris",2009,23.0,0.0,3.9,0.3,0.7,0.412,0.0,0.0,0.0,0.2,0.2,1.0,0.2,0.7,0.9,0.1,0.0,0.1,1.1,0.3,0.8,7.0,17.0,0.412,0.0,0.0,0.0,4.0,4.0,1.0,4.0,16.0,20.0,2.0,1.0,2.0,25.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.29,1.71,1.059,0.412
