"","means","ses"
"mia",54.074,4.01305726705072
"bos",41.242,3.99842761888013
"wsh",38.451,4.30466364878014
"mil",46.338,4.0927382650869
"chi",42.223,4.37977778585323
"bkn",27.145,3.86483012717401
"det",33.531,4.21506889692278
"orl",29.492,4.14235381095038
"phi",32.303,4.14974835519112
"hou",40.208,4.20956725287249
"sa",52.885,4.11226041073346
"lac",52.3,4.09545757794813
"gs",35.498,4.28770106005309
"sac",30.65,4.04151380473132
"atl",51.929,3.97791186211846
"ny",53.845,4.07548580964093
"cle",25.341,3.92939679329527
"tor",40.958,4.33116554693941
"cha",23.758,4.01042635133966
"den",55.18,4.15678708606526
"lal",55.828,3.92068715760232
"phx",32.974,4.22577580820152
"por",35.038,4.18378537452151
"utah",39.764,4.01278038352542
"ind",43.649,4.06328799241566
"okc",53.699,4.2353674382912
"no",39.459,4.1940325355091
"dal",40.159,4.20159164750364
"mem",48.241,4.08676163002207
"min",32.838,4.01844545862003
