"","means","ses"
"tor",39.898,3.74213837258854
"bos",16.438,3.01284470778585
"det",39.849,3.76116276506951
"mem",56.479,3.47384896427963
"orl",11.208,2.78504802337276
"mia",60.226,3.36931391773997
"min",49.058,3.80461707811852
"hou",62.522,3.41748375200164
"sa",57.988,3.43913996279356
"atl",50.868,3.65457684717833
"cha",28.541,3.74624523401143
"mil",30.27,3.72598751782437
"ny",50.474,3.69147002574191
"bkn",54.202,3.60613369139307
"ind",57.856,3.50907075699217
"chi",51.536,3.79698842783608
"okc",67.312,3.07279971656112
"den",21.511,3.20533198797771
"lac",55.474,3.50536896939703
"gs",49.549,3.61256828996348
"por",41.018,3.84375473338901
"wsh",34.937,3.73456529973409
"phi",36.746,3.72469560600022
"phx",14.922,2.94322587963931
"lal",10.154,2.56804962547044
"sac",32.863,3.69755363759647
"utah",31.387,3.64534216768735
"no",24.445,3.40919310066145
"dal",52.127,3.48898897161399
"cle",40.142,3.68909818864251
