Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,eFG%,FTr,3PAr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/48
1,Quincy Acy,PF,22,TOR,29,0,342,42,75,0.56,1,2,0.5,41,73,0.562,31,38,0.816,30,47,77,11,13,15,17,53,116,15.9,0.632,0.567,0.507,0.027,10.3,16.6,13.4,5.2,2,3.5,15.6,14.7,120,105,0.7,0.4,1.1,0.157
2,Jeff Adrien,PF,26,CHA,52,5,713,72,168,0.429,0,2,0,72,166,0.434,65,100,0.65,68,128,196,36,18,27,32,80,209,13.4,0.493,0.429,0.595,0.012,10.6,21.2,15.7,8.3,1.3,3.1,13.1,15.6,105,109,0.5,0.4,1,0.064
3,Arron Afflalo,SF,27,ORL,64,64,2307,397,905,0.439,72,240,0.3,325,665,0.489,191,223,0.857,29,210,239,206,40,11,138,137,1057,13,0.527,0.478,0.246,0.265,1.4,10.3,5.8,14.6,0.9,0.4,12.1,22.5,102,112,1.5,0.5,2,0.042
4,Josh Akognon,PG,26,DAL,3,0,9,2,4,0.5,1,2,0.5,1,2,0.5,0,0,,0,1,1,1,0,0,0,3,5,15.3,0.625,0.625,0,0.5,0,12.1,6.2,19.4,0,0,0,20.3,130,111,0,0,0,0.196
5,Cole Aldrich,C,24,TOT,45,0,388,44,80,0.55,0,0,,44,80,0.55,12,20,0.6,30,90,120,9,5,23,23,60,100,11.1,0.563,0.55,0.25,0,8.7,26.7,17.7,3.4,0.7,4.6,20.6,12.7,102,105,0.1,0.4,0.6,0.07
5,Cole Aldrich,C,24,HOU,30,0,213,23,43,0.535,0,0,,23,43,0.535,4,9,0.444,12,45,57,6,3,9,14,41,50,7.3,0.532,0.535,0.209,0,6.5,23.7,15.2,4.1,0.7,3.2,23,12.5,92,105,-0.1,0.3,0.2,0.038
5,Cole Aldrich,C,24,SAC,15,0,175,21,37,0.568,0,0,,21,37,0.568,8,11,0.727,18,45,63,3,2,14,9,19,50,15.7,0.598,0.568,0.297,0,11.5,30.4,20.7,2.6,0.6,6.3,17.7,12.9,112,106,0.2,0.2,0.4,0.109
6,LaMarcus Aldridge,PF,27,POR,74,74,2790,638,1318,0.484,2,14,0.143,636,1304,0.488,282,348,0.81,175,495,670,192,62,91,143,187,1560,20.4,0.53,0.485,0.264,0.011,7.2,20.9,14,13,1.2,2.5,8.9,26.5,108,107,4.8,2.3,7.2,0.124
7,Lavoy Allen,C,23,PHI,79,37,1669,206,454,0.454,0,1,0,206,453,0.455,43,60,0.717,159,236,395,73,24,55,55,180,455,11.5,0.474,0.454,0.132,0.002,10.5,16.5,13.4,6.7,0.8,2.6,10.3,14.8,103,106,0.9,1.6,2.5,0.072
8,Ray Allen,SG,37,MIA,79,0,2035,292,651,0.449,139,332,0.419,153,319,0.48,140,158,0.886,40,177,217,135,67,15,103,129,863,14.7,0.599,0.555,0.243,0.51,2.6,10.1,6.6,10.2,1.7,0.6,12.5,19.3,112,107,3.4,1.9,5.4,0.126
9,Tony Allen,SG,31,MEM,79,79,2109,284,638,0.445,3,24,0.125,281,614,0.458,134,187,0.717,121,242,363,98,119,44,94,211,705,13.2,0.489,0.447,0.293,0.038,6.6,13.8,10.2,7.6,3.1,1.7,11.5,17.8,102,98,1,4.1,5.1,0.115
10,Al-Farouq Aminu,SF,22,NOH,76,71,2066,225,474,0.475,4,19,0.211,221,455,0.486,101,137,0.737,139,446,585,103,92,51,116,153,555,13.7,0.519,0.479,0.289,0.04,7.9,26.2,16.9,7.8,2.4,2.1,17.8,14.6,101,105,0.7,2.4,3.1,0.073
11,Louis Amundson,C-PF,30,TOT,39,0,372,32,81,0.395,0,0,,32,81,0.395,12,36,0.333,48,58,106,11,16,12,19,53,76,9.3,0.392,0.395,0.444,0,14.7,18.7,16.7,4.5,2.3,2.6,16.4,14.2,89,105,-0.3,0.4,0.1,0.019
11,Louis Amundson,C,30,MIN,20,0,161,14,38,0.368,0,0,,14,38,0.368,4,20,0.2,23,24,47,3,7,6,11,26,32,6.3,0.342,0.368,0.526,0,15.9,17.6,16.7,2.8,2.2,2.9,19,16.1,77,103,-0.4,0.2,-0.1,-0.038
11,Louis Amundson,PF,30,CHI,1,0,2,0,1,0,0,0,,0,1,0,0,0,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,56.7,0,28.7,0,0,0,0,23,59,113,0,0,0,-0.274
11,Louis Amundson,C,30,NOH,18,0,209,18,42,0.429,0,0,,18,42,0.429,8,16,0.5,24,34,58,8,9,6,8,27,44,11.7,0.449,0.429,0.381,0,13.4,19.7,16.5,5.8,2.3,2.4,14,12.7,102,106,0.1,0.2,0.3,0.065
12,Chris Andersen,C,34,MIA,42,0,624,71,123,0.577,2,3,0.667,69,120,0.575,63,93,0.677,57,115,172,17,16,44,24,89,207,17.4,0.631,0.585,0.756,0.024,11.9,21.5,17,4,1.4,5.8,12.8,14.4,125,100,1.6,1.1,2.7,0.207
13,Alan Anderson,SF,30,TOR,65,2,1495,236,616,0.383,95,285,0.333,141,331,0.426,126,147,0.857,34,114,148,103,48,7,80,131,693,12.6,0.509,0.46,0.239,0.463,2.7,9.2,5.9,11.7,1.7,0.4,10.5,23.6,101,110,0.8,0.8,1.6,0.052
14,James Anderson,SG-SF,23,TOT,39,2,401,52,126,0.413,21,60,0.35,31,66,0.47,24,28,0.857,18,54,72,42,15,5,25,25,149,13.9,0.539,0.496,0.222,0.476,5.2,15,10.2,15.8,1.9,0.9,15.3,18,107,105,0.4,0.4,0.9,0.106
14,James Anderson,SF,23,SAS,10,0,94,11,25,0.44,5,11,0.455,6,14,0.429,7,9,0.778,3,11,14,9,3,2,7,7,34,13,0.587,0.54,0.36,0.44,3.9,12.8,8.6,13.9,1.6,1.5,19.5,17.6,105,103,0.1,0.1,0.2,0.109
14,James Anderson,SG,23,HOU,29,2,307,41,101,0.406,16,49,0.327,25,52,0.481,17,19,0.895,15,43,58,33,12,3,18,18,115,14.2,0.526,0.485,0.188,0.485,5.6,15.7,10.7,16.4,2,0.7,14.1,18.1,108,106,0.4,0.3,0.7,0.105
