"","wins","team","year"
"1","44","atl",2012
"2","41","bos",2012
"3","49","bkn",2012
"4","21","cha",2012
"5","45","chi",2012
"6","24","cle",2012
"7","41","dal",2012
"8","57","den",2012
"9","29","det",2012
"10","47","gs",2012
"11","45","hou",2012
"12","49","ind",2012
"13","56","lac",2012
"14","45","lal",2012
"15","56","mem",2012
"16","66","mia",2012
"17","38","mil",2012
"18","31","min",2012
"19","27","no",2012
"20","54","ny",2012
"21","60","okc",2012
"22","20","orl",2012
"23","34","phi",2012
"24","25","phx",2012
"25","33","por",2012
"26","28","sac",2012
"27","58","sa",2012
"28","34","tor",2012
"29","43","utah",2012
"30","29","wsh",2012
"31","38","atl",2013
"32","25","bos",2013
"33","44","bkn",2013
"34","43","cha",2013
"35","48","chi",2013
"36","33","cle",2013
"37","49","dal",2013
"38","36","den",2013
"39","29","det",2013
"40","51","gs",2013
"41","54","hou",2013
"42","56","ind",2013
"43","57","lac",2013
"44","27","lal",2013
"45","50","mem",2013
"46","54","mia",2013
"47","15","mil",2013
"48","40","min",2013
"49","34","no",2013
"50","37","ny",2013
"51","59","okc",2013
"52","23","orl",2013
"53","19","phi",2013
"54","48","phx",2013
"55","54","por",2013
"56","28","sac",2013
"57","62","sa",2013
"58","48","tor",2013
"59","25","utah",2013
"60","44","wsh",2013
