"","Player","ORPM","DRPM","RPM","Possessions","year"
"1","David Robinson","1.5","4.8","6.3","13390.0",1991
"2","Magic Johnson","5.5","0.5","6.0","14580.0",1991
"3","Terry Porter","5.5","-0.2","5.3","14284.0",1991
"4","Michael Jordan","3.9","1.1","5.0","14356.0",1991
"5","Hakeem Olajuwon","-0.3","5.0","4.7","8716.0",1991
"6","John Stockton","4.0","0.7","4.7","13992.0",1991
"7","Charles Barkley","4.4","0.0","4.4","11246.0",1991
"8","Clyde Drexler","3.3","0.7","4.1","14608.0",1991
"9","Larry Bird","3.0","1.0","4.0","10870.0",1991
"10","Scottie Pippen","1.7","2.2","4.0","14462.0",1991
"11","Michael Adams","6.2","-2.3","3.9","11344.0",1991
"12","Kevin Johnson","3.5","0.0","3.5","12544.0",1991
"13","Mark Price","4.5","-1.2","3.4","2406.0",1991
"14","Vlade Divac","0.2","3.1","3.3","13280.0",1991
"15","Karl Malone","1.2","2.0","3.2","14246.0",1991
"16","Patrick Ewing","-0.1","3.1","3.0","12610.0",1991
"17","Dominique Wilkins","3.2","-0.3","2.9","13338.0",1991
"18","Hersey Hawkins","2.7","-0.1","2.6","13448.0",1991
"19","Tim Hardaway","3.5","-0.9","2.6","15350.0",1991
"20","Reggie Miller","4.4","-1.8","2.6","13562.0",1991
"21","Horace Grant","1.0","1.6","2.5","13310.0",1991
"22","Micheal Williams","2.1","0.2","2.3","8048.0",1991
"23","Andrew Lang","-0.7","2.8","2.2","5040.0",1991
"24","Alvin Robertson","0.8","1.4","2.1","11804.0",1991
"25","Vernon Maxwell","3.0","-0.9","2.1","12810.0",1991
"26","Larry Nance","0.1","2.0","2.1","12016.0",1991
"27","Derek Harper","2.7","-0.6","2.1","11658.0",1991
"28","Robert Parish","-0.3","2.3","2.0","12786.0",1991
"29","Manute Bol","-3.4","5.4","2.0","5458.0",1991
"30","Mark West","-1.1","3.1","2.0","9998.0",1991
"31","Nate McMillan","0.9","1.0","1.9","4716.0",1991
"32","Chris Dudley","-1.5","3.4","1.9","5988.0",1991
"33","Danny Ainge","3.9","-2.1","1.8","6540.0",1991
"34","Shawn Kemp","0.0","1.7","1.7","10716.0",1991
"35","Doc Rivers","2.1","-0.4","1.7","12232.0",1991
"36","Scott Brooks","4.2","-2.6","1.6","3338.0",1991
"37","Brad Daugherty","-0.2","1.7","1.5","11620.0",1991
"38","Duane Causwell","-1.4","2.9","1.5","7606.0",1991
"39","Jerome Kersey","-0.2","1.7","1.5","13030.0",1991
"40","Jim Les","3.4","-2.0","1.4","4718.0",1991
"41","Mark Eaton","-2.4","3.8","1.4","12530.0",1991
"42","Dennis Rodman","-1.2","2.6","1.4","13078.0",1991
"43","John Salley","-0.8","2.2","1.4","6024.0",1991
"44","Chris Mullin","1.7","-0.3","1.4","15238.0",1991
"45","Charles Smith","-0.8","2.1","1.3","11546.0",1991
"46","Sam Perkins","-0.2","1.4","1.3","12958.0",1991
"47","Jay Humphries","2.2","-0.9","1.3","12094.0",1991
"48","Detlef Schrempf","1.3","-0.0","1.3","8330.0",1991
"49","Jack Sikma","-0.1","1.3","1.2","8178.0",1991
"50","Ron Harper","1.9","-0.7","1.2","5752.0",1991
"51","Ed Pinckney","-0.1","1.2","1.1","5336.0",1991
"52","Jerry Reynolds","0.5","0.6","1.1","6374.0",1991
"53","Kenny Smith","1.7","-0.6","1.1","12188.0",1991
"54","Dan Majerle","1.4","-0.3","1.1","7764.0",1991
"55","Will Perdue","-0.9","2.0","1.1","4156.0",1991
"56","Felton Spencer","-0.8","1.9","1.0","8638.0",1991
"57","Hot Rod Williams","-0.3","1.3","1.0","4564.0",1991
"58","Jeff Hornacek","2.1","-1.0","1.0","12468.0",1991
"59","Rod Strickland","0.9","0.1","1.0","9566.0",1991
"60","Scott Skiles","2.9","-2.0","0.9","10888.0",1991
"61","Derrick Coleman","-0.2","1.1","0.9","10886.0",1991
"62","Benoit Benjamin","-1.9","2.8","0.9","10464.0",1991
"63","Elden Campbell","-1.0","1.9","0.9","1830.0",1991
"64","Moses Malone","-0.3","1.1","0.8","6988.0",1991
"65","Chris Morris","-0.2","1.0","0.7","11044.0",1991
"66","Mark Jackson","2.2","-1.5","0.7","5898.0",1991
"67","Buck Williams","-1.1","1.8","0.7","13948.0",1991
"68","Isiah Thomas","1.2","-0.5","0.7","8424.0",1991
"69","Otis Thorpe","-0.7","1.3","0.7","13238.0",1991
"70","A.C. Green","0.1","0.6","0.7","8594.0",1991
"71","Rod Higgins","1.6","-1.0","0.6","7988.0",1991
"72","Danny Young","2.0","-1.5","0.6","3500.0",1991
"73","Tom Chambers","0.3","0.3","0.5","11966.0",1991
"74","Michael Cage","-1.6","2.1","0.5","9268.0",1991
"75","John Starks","1.4","-0.9","0.5","4058.0",1991
"76","Dale Ellis","2.6","-2.1","0.5","5298.0",1991
"77","John Paxson","1.8","-1.3","0.5","11830.0",1991
"78","Tim Perry","-0.5","1.0","0.5","2172.0",1991
"79","Kevin McHale","0.3","0.2","0.4","8046.0",1991
"80","Mitch Richmond","1.3","-0.8","0.4","14558.0",1991
