"","Rank","Name","Offense per 100","Defense per 100","Off+Def per 200","2y proj.","Error of estimation (RMSE)","'14 Possessions"
"1","1","Andre Iguodala","0.8","5.5","6.3","5.9","1.5","6590"
"2","2","Chris Paul","4.0","1.8","5.8","5.6","1.8","6173"
"3","3","LeBron James","6.2","-0.6","5.6","5.3","1.8","8000"
"4","4","Patrick Beverley","2.8","2.5","5.3","5.5","2.1","5408"
"5","5","Kevin Love","4.1","1.0","5.1","5.3","1.8","8518"
"6","6","Manu Ginobili","4.4","0.3","4.7","3.7","1.8","4636"
"7","7","Stephen Curry","3.6","0.7","4.3","4.5","1.9","8712"
"8","8","Mike Conley","2.8","1.5","4.2","4.3","1.9","6582"
"9","9","Amir Johnson","1.6","2.6","4.2","4.2","1.8","6165"
"10","10","Blake Griffin","2.6","1.5","4.1","4.4","1.8","9063"
"11","11","Dirk Nowitzki","2.9","1.0","3.9","3.0","1.6","7547"
"12","12","Tony Parker","2.0","1.9","3.8","3.3","1.8","6106"
"13","13","Kevin Durant","3.5","0.3","3.8","4.0","1.9","9339"
"14","14","LaMarcus Aldridge","1.4","2.3","3.7","3.5","1.9","8076"
"15","15","Vince Carter","1.3","2.4","3.7","2.7","1.6","5795"
"16","16","DeMarre Carroll","1.3","2.2","3.6","3.5","1.9","6440"
"17","17","George Hill","1.9","1.7","3.6","3.5","1.8","6559"
"18","18","Taj Gibson","1.1","2.3","3.4","3.2","1.7","6338"
"19","19","Channing Frye","3.5","-0.1","3.4","2.9","1.9","6695"
"20","20","Nick Collison","2.1","1.1","3.2","2.4","1.8","4082"
"21","21","Patrick Mills","1.8","1.3","3.2","3.3","2.0","4389"
"22","22","Tim Duncan","-0.3","3.4","3.1","2.0","1.9","6517"
"23","23","James Harden","4.3","-1.2","3.1","3.5","1.5","8011"
"24","24","Chris Andersen","1.3","1.7","3.0","2.1","2.0","3627"
"25","25","Dwyane Wade","0.8","2.1","2.9","2.3","1.6","5495"
"26","26","John Wall","2.2","0.8","2.9","3.5","1.7","8704"
"27","27","Marcin Gortat","0.9","2.0","2.9","2.5","1.7","7666"
"28","28","Mario Chalmers","0.8","2.0","2.9","2.8","1.9","5856"
"29","29","Matt Barnes","2.2","0.7","2.8","2.0","1.7","4571"
"30","30","Derrick Rose","2.2","0.6","2.8","3.1","2.1","1062"
"31","31","Dwight Howard","-0.6","3.3","2.7","2.5","1.6","8136"
"32","32","Chris Bosh","0.5","2.2","2.7","2.3","1.7","6886"
"33","33","Paul Pierce","-0.1","2.7","2.6","1.6","1.7","5902"
"34","34","Joe Johnson","2.1","0.4","2.5","1.8","1.6","7065"
"35","35","Carmelo Anthony","1.9","0.5","2.4","2.1","1.8","8770"
"36","36","Matt Bonner","2.6","-0.3","2.3","1.6","1.8","2220"
"37","37","Anderson Varejao","1.3","1.0","2.3","1.7","1.9","5308"
"38","38","Russell Westbrook","1.7","0.6","2.3","2.6","1.9","4093"
"39","39","Danny Granger","0.7","1.6","2.2","1.8","1.9","2675"
"40","40","Kevin Garnett","-2.0","4.2","2.2","1.2","1.7","3728"
"41","41","DeAndre Jordan","1.6","0.6","2.2","2.4","1.8","8955"
"42","42","Shane Battier","0.7","1.4","2.2","1.3","1.6","4332"
"43","43","Marc Gasol","-1.9","4.1","2.1","1.9","1.8","4639"
"44","44","Josh Smith","0.6","1.5","2.1","1.9","1.7","8703"
"45","45","Paul Millsap","0.2","2.0","2.1","1.9","1.7","6913"
"46","46","Draymond Green","-0.5","2.6","2.1","2.6","2.0","4968"
"47","47","Goran Dragic","2.0","0.1","2.1","2.0","1.7","7629"
"48","48","Ricky Rubio","0.4","1.6","2.0","2.6","1.8","7772"
"49","49","Tiago Splitter","-0.9","3.0","2.0","1.7","1.7","3429"
"50","50","Deron Williams","2.7","-0.7","2.0","1.7","1.7","5224"
"51","51","Kyle Lowry","1.5","0.5","2.0","1.9","1.7","8253"
"52","52","Metta World Peace","0.7","1.3","2.0","1.2","1.7","1486"
"53","53","Monta Ellis","2.3","-0.4","1.9","1.7","1.5","8942"
"54","54","Damian Lillard","3.2","-1.4","1.9","2.4","1.8","8627"
"55","55","Wesley Matthews","1.2","0.7","1.9","1.8","1.7","8197"
"56","56","Mike Dunleavy","0.8","1.1","1.9","1.1","1.7","6799"
"57","57","Omer Asik","-1.5","3.3","1.8","1.7","1.7","1948"
"58","58","C.J. Miles","0.5","1.3","1.8","1.9","1.7","3765"
"59","59","Paul George","-0.6","2.3","1.8","2.3","1.8","8326"
"60","60","Jae Crowder","0.1","1.6","1.7","2.2","1.9","3954"
"61","61","Brandan Wright","2.4","-0.7","1.7","1.8","2.0","2701"
"62","62","J.R. Smith","1.8","-0.1","1.7","1.5","1.7","6717"
"63","63","Landry Fields","-0.1","1.8","1.7","2.0","1.8","1128"
"64","64","Kobe Bryant","1.6","0.1","1.7","0.8","1.8","704"
"65","65","Pero Antic","-0.6","2.2","1.6","1.0","2.6","1977"
"66","66","Ty Lawson","2.2","-0.5","1.6","1.7","1.7","7021"
"67","67","Robin Lopez","-0.2","1.7","1.5","1.7","1.7","7543"
"68","68","Iman Shumpert","-0.1","1.6","1.5","2.1","1.7","5552"
"69","69","Roy Hibbert","-0.8","2.3","1.5","1.5","1.9","6918"
"70","70","Corey Brewer","1.6","-0.1","1.5","1.4","1.6","7853"
"71","71","Steve Novak","0.9","0.6","1.5","1.1","1.8","1342"
"72","72","Klay Thompson","1.3","0.2","1.5","1.9","1.8","8900"
"73","73","Al Horford","-0.1","1.5","1.4","1.3","1.8","3652"
"74","74","Eric Bledsoe","-2.0","3.4","1.4","1.8","1.9","3139"
"75","75","Raymond Felton","1.6","-0.2","1.4","1.0","1.6","5733"
"76","76","Joakim Noah","0.1","1.3","1.3","1.1","1.7","7295"
"77","77","Tony Allen","-1.1","2.4","1.3","0.7","1.8","3412"
"78","78","Tyson Chandler","-0.5","1.8","1.3","0.8","1.8","4515"
"79","79","Nikola Pekovic","0.6","0.8","1.3","1.1","1.8","6173"
"80","80","Devin Harris","0.7","0.6","1.3","0.8","1.8","1519"
"81","81","Danny Green","-0.4","1.7","1.3","1.3","1.7","4935"
