"","playerId","playerName","SEASON","team","avg_GP","avg_GS","avg_MIN","avg_FG_made","avg_FG_attempted","avg_FGpercent","avg_ThreeP_made","avg_ThreeP_attempted","avg_ThreePpercent","avg_FT_made","avg_FT_attempted","avg_FTpercent","avg_OR","avg_DR","avg_REB","avg_AST","avg_BLK","avg_STL","avg_PF","avg_TO","avg_PTS","total_FG_made","total_FG_attempted","total_FGpercent","total_ThreeP_made","total_ThreeP_attempted","total_ThreePpercent","total_FT_made","total_FT_attempted","total_FTpercent","total_OR","total_DR","total_REB","total_AST","total_BLK","total_STL","total_PF","total_TO","total_PTS","misc_total_DBLDBL","misc_total_TRIDBL","misc_total_DQ","misc_total_EJECT","misc_total_TECH","misc_total_FLAG","misc_total_AST_TO","misc_total_STL_TO","misc_total_RAT","misc_total_SCEFF","misc_total_SHEFF"
"1","9","Ray Allen",1996,"mil",82,81,30.9,4.8,11.1,0.43,1.4,3.6,0.393,2.5,3,0.823,1.2,2.8,4,2.6,0.1,0.9,2.7,1.8,13.4,390,908,0.43,117,298,0.393,205,249,0.823,97,229,326,210,10,75,218,149,1102,0,0,0,0,0,0,1.41,0.5,21.43,1.214,0.494
"2","9","Ray Allen",1997,"mil",82,82,40.1,6.9,16,0.428,1.6,4.5,0.364,4.2,4.8,0.875,1.6,3.4,4.9,4.3,0.1,1.4,3,3.2,19.5,563,1315,0.428,134,368,0.364,342,391,0.875,127,278,405,356,12,111,244,263,1602,8,0,2,0,1,0,1.35,0.42,30.78,1.218,0.479
"3","9","Ray Allen",1998,"mil",50,50,34.4,6.1,13.5,0.45,1.5,4.2,0.356,3.5,3.9,0.903,1.1,3.1,4.2,3.6,0.1,1.1,2.3,2.4,17.1,303,673,0.45,74,208,0.356,176,195,0.903,57,155,212,178,7,53,117,122,856,1,0,0,0,0,0,1.46,0.43,27.35,1.272,0.505
"4","9","Ray Allen",1999,"mil",82,82,37.4,7.8,17.2,0.455,2.1,5,0.423,4.3,4.9,0.887,1,3.4,4.4,3.8,0.2,1.3,2.3,2.2,22.1,642,1411,0.455,172,407,0.423,353,398,0.887,83,276,359,308,19,110,187,183,1809,3,0,1,0,2,0,1.68,0.6,33.81,1.282,0.516
"5","9","Ray Allen",2000,"mil",82,82,38.2,7.7,16,0.48,2.5,5.7,0.433,4.2,4.8,0.888,1.2,4,5.2,4.6,0.2,1.5,2.3,2.5,22,628,1309,0.48,202,467,0.433,348,392,0.888,101,327,428,374,20,124,192,204,1806,8,1,2,0,1,0,1.83,0.61,36.62,1.38,0.557
"6","9","Ray Allen",2001,"mil",69,67,36.6,7.7,16.6,0.462,3.3,7.7,0.434,3.1,3.6,0.873,1.2,3.4,4.5,3.9,0.3,1.3,2.3,2.3,21.8,530,1148,0.462,229,528,0.434,214,245,0.873,81,231,312,271,18,88,157,159,1503,3,0,0,0,2,0,1.7,0.55,34.42,1.309,0.561
"7","9","Ray Allen",2002,"mil",47,46,35.8,7.5,17.1,0.437,2.6,6.6,0.395,3.8,4.1,0.913,1,3.7,4.6,3.5,0.2,1.2,3.2,2.5,21.3,351,803,0.437,123,311,0.395,178,195,0.913,45,173,218,164,11,57,149,117,1003,0,0,2,0,2,0,1.69,0.52,35.37,1.257,0.512
"8","9","Ray Allen",2002,"NA",29,29,41.3,8.5,19.3,0.441,2.7,7.7,0.351,4.8,5.2,0.92,1.7,3.9,5.6,5.9,0.1,1.6,2.4,2.8,24.5,247,560,0.441,78,222,0.351,138,150,0.92,49,114,163,170,3,46,71,81,710,3,1,2,0,1,0,1.69,0.52,35.37,1.257,0.512
"9","9","Ray Allen",2003,"NA",56,56,38.4,8,18.2,0.44,2.6,6.8,0.392,4.4,4.8,0.904,1.2,3.9,5.1,4.8,0.2,1.3,2.4,2.8,23,447,1017,0.44,148,378,0.392,245,271,0.904,69,217,286,268,11,71,132,156,1287,6,1,2,0,2,0,1.72,0.46,36.27,1.265,0.512
"10","9","Ray Allen",2004,"NA",78,78,39.3,8.2,19.2,0.428,2.7,7.1,0.376,4.8,5.5,0.883,1,3.4,4.4,3.7,0.1,1.1,2.1,2.2,23.9,640,1494,0.428,209,556,0.376,378,428,0.883,79,268,347,289,5,84,167,171,1867,1,0,2,0,3,0,1.69,0.49,34.69,1.25,0.498
"11","9","Ray Allen",2005,"NA",78,78,38.7,8.7,19.2,0.454,3.4,8.4,0.412,4.2,4.6,0.903,0.9,3.4,4.3,3.7,0.2,1.3,1.9,2.4,25.1,681,1500,0.454,269,653,0.412,324,359,0.903,71,261,332,286,16,105,151,188,1955,1,0,2,0,1,0,1.52,0.56,37.13,1.303,0.544
"12","9","Ray Allen",2006,"NA",55,55,40.3,9.2,21,0.438,3,8.1,0.372,5.1,5.6,0.903,1,3.5,4.5,4.1,0.2,1.5,2.1,2.8,26.4,505,1153,0.438,165,443,0.372,279,309,0.903,57,190,247,228,11,82,113,154,1454,4,0,0,0,0,0,1.48,0.53,38.63,1.261,0.51
"13","9","Ray Allen",2007,"bos",73,73,35.9,6,13.5,0.445,2.5,6.2,0.398,2.9,3.2,0.907,1,2.6,3.7,3.1,0.2,0.9,2,1.7,17.4,439,986,0.445,180,452,0.398,215,237,0.907,75,193,268,225,16,65,147,127,1273,1,0,0,0,2,0,1.77,0.51,27.15,1.291,0.537
"14","9","Ray Allen",2008,"bos",79,79,36.4,6.3,13.2,0.48,2.5,6.2,0.409,3,3.2,0.952,0.8,2.7,3.5,2.8,0.2,0.9,2,1.7,18.2,499,1040,0.48,199,486,0.409,237,249,0.952,66,212,278,218,13,69,157,134,1434,0,0,3,0,3,0,1.63,0.51,28.18,1.379,0.575
"15","9","Ray Allen",2009,"bos",80,80,35.2,5.8,12.2,0.477,1.8,5,0.363,2.9,3.2,0.913,0.6,2.6,3.2,2.6,0.3,0.8,2.3,1.6,16.3,464,973,0.477,145,399,0.363,231,253,0.913,45,208,253,210,25,64,182,129,1304,0,0,1,0,0,0,1.63,0.5,25.36,1.34,0.551
"16","9","Ray Allen",2010,"bos",80,80,36.1,6,12.2,0.491,2.1,4.7,0.444,2.4,2.7,0.881,0.6,2.8,3.4,2.7,0.2,1,1.8,1.5,16.5,480,978,0.491,168,378,0.444,193,219,0.881,51,223,274,219,16,77,147,117,1321,0,0,0,0,0,0,1.87,0.66,26.4,1.351,0.577
"17","9","Ray Allen",2011,"bos",46,42,34,4.9,10.7,0.458,2.3,5.1,0.453,2.1,2.3,0.915,0.3,2.8,3.1,2.4,0.2,1.1,1.8,1.5,14.2,226,493,0.458,106,234,0.453,97,106,0.915,14,128,142,109,8,49,83,68,655,0,0,0,0,1,0,1.6,0.72,22.71,1.329,0.566
"18","9","Ray Allen",2012,"mia",79,0,25.8,3.7,8.2,0.449,1.8,4.2,0.419,1.8,2,0.886,0.5,2.2,2.7,1.7,0.2,0.8,1.6,1.3,10.9,292,651,0.449,139,332,0.419,140,158,0.886,40,177,217,135,15,67,129,103,863,0,0,0,0,1,0,1.31,0.65,17.47,1.326,0.555
