"","means","ses"
"tor",40.069,4.13222873451051
"bos",28.577,4.01399840348538
"det",39.355,4.12916759468843
"mem",50.332,4.28113350692362
"orl",23.042,3.90377707809699
"mia",52.129,4.11014017428266
"min",45.206,4.29907502214675
"hou",54.806,3.83654572279324
"sa",50.604,3.85435338805876
"atl",46.315,4.11469387752062
"cha",33.916,4.28524296946011
"mil",35.008,4.14670123485297
"ny",46.533,4.2575859401823
"bkn",48.195,4.13667584989289
"ind",51.31,4.0760905920397
"chi",47.283,4.38932536697579
"okc",58.387,3.80942813854557
"den",29.061,4.11682246729528
"lac",49.927,4.16016561905629
"gs",45.879,4.13781107356057
"por",40.687,4.2798771417353
"wsh",37.619,4.14837896630094
"phi",38.994,4.28629634257086
"phx",25.646,4.08158588582224
"lal",21.288,3.73027759971975
"sac",36.018,4.179850134532
"utah",35.244,4.30197291611314
"no",31.095,4.05541877263266
"dal",47.418,4.24962767020069
"cle",40.057,4.32995375258206
